숙소명,시군구명,질문1,질문2,질문3,질문4,질문5
동해망상해변한옥촌,동해시,아침에 해수욕장에서 일출을 감상할 수 있는 숙소가 있을까요?,"망상해수욕장에 가까운 숙소를 찾고 있는데, 추천해 주실 곳이 있을까요?",휠체어를 사용하는 가족과 함께 머물 수 있는 장애인 주차구역이 있는 숙소가 있을까요?,인 가족이 함께 머물 수 있는 편의성과 접근성이 좋은 숙소가 있을까요?,바다와 숲이 어우러진 경관을 감상할 수 있는 숙소가 있나요?
너랑온펜션,동해시,동해바다 근처에 위치한 숙소 중에서 주변에 산책하기 좋은 해변이나 공원이 있는 곳이 있나요?,"대중교통을 이용할 계획인데, 동해시 중심가와 가까운 숙소가 있으면 추천해 주세요",부모님이 지역 특산물을 즐기고 싶어 하세요. 근처에 전통 시장이나 로컬 식당이 많은 숙소가 있나요?,"반려견과 함께 머물기 좋은 곳을 찾고 있는데, 주변에 애견을 위한 시설이나 산책로가 있는 숙소가 있을까요?",동해에서 유명한 관광지를 쉽게 방문할 수 있는 숙소가 있으면 알려주세요
올리브펜션,동해시,"부모님이 등대를 좋아하시는데, 대진등대 근처에 있는 숙소가 있을까요?","바다 산책을 자주 하시는데, 망상해변까지 걸어서 갈 수 있는 숙소가 있나요?","항구 구경을 하고 싶어 하시는데, 묵호항 근처에 위치한 숙소를 추천해 주세요","바다 전망이 좋은 방에서 머물고 싶은데, 방에서 바다가 잘 보이는 숙소가 있나요?","반려견과 함께 여행할 예정인데, 반려견 동반이 가능한 숙소가 대진등대 근처에 있을까요?"
망상파크펜션,동해시,해변까지 쉽게 접근할 수 있는 숙소가 있을까요? 걸음이 불편하신 부모님이 계셔서요,"무릉계곡을 방문하려고 하는데, 계곡 근처에 머물기 좋은 숙소가 있나요?",등대마을을 조용히 산책할 수 있는 숙소가 근처에 있을까요?,"천곡천연동굴을 둘러보려 하는데, 이동이 편리한 숙소를 찾고 있어요",반려견을 동반할 수 있는 숙소가 해변 가까이에 있는지 궁금해요
동해 글로리아펜션,동해시,"부모님이 바다 소리를 좋아하시는데, 숙소 근처에서 동해바다를 쉽게 감상할 수 있는 곳이 있나요?",근처에 조용히 산책할 수 있는 자연 경관이 좋은 장소가 있나요?,동해 지역에서 맛있는 해산물을 즐길 수 있는 맛집이 숙소와 가까운 곳에 있나요?,"교통편이 걱정인데, 대중교통으로 쉽게 접근할 수 있는 숙소가 있나요?","자연 속에서 힐링할 수 있는 시간을 원하셔서, 근처에 숲이나 자연 공원이 있는 숙소를 추천해줄 수 있나요?"
동쪽바다프리미엄하우스(카페앤라씨),동해시,"부모님이 바다를 좋아하시는데, 해안가 산책로가 가까운 숙소가 있나요?","어머니께서 카페를 좋아하시는데, 주변에 분위기 좋은 카페가 있는 숙소를 추천해 주세요","아버지가 낚시를 좋아하셔서, 근처에 낚시할 수 있는 해변이 있는 숙소가 있나요?",근처에 병원이 있는 숙소가 필요합니다. 응급 상황에 대비할 수 있는 위치에 있는 숙소를 추천해 주세요,부모님께서 조용한 곳을 선호하십니다. 주변에 소음이 적고 한적한 지역에 위치한 숙소가 있나요?
황토민박펜션,동해시,"자연을 즐기고 싶어 하시는 부모님을 위해, 근처에 산책로가 잘 조성된 숙소가 있을까요?","공기 좋은 지역에서 휴식을 원하시는데, 산이나 숲 근처에 위치한 숙소를 추천받을 수 있을까요?","반려견과 함께 머물 수 있는 숙소를 찾고 있는데, 애완동물 동반이 가능한 곳이 있나요?","도시의 소음을 피하고 싶어 하셔서, 조용한 시골 마을 근처에 있는 숙소가 있나요?","가족과 함께 별을 관찰하고 싶은데, 맑은 밤하늘을 볼 수 있는 숙소가 있나요?"
망상펜션,동해시,"망상해수욕장을 자주 방문할 계획인데, 해변까지 접근이 쉬운 숙소가 있나요?","묵호항 도째비골을 구경하고 싶은데, 근처에 쉬어갈 만한 곳이 있을까요?","고령자분이 계시는데, 숙소에서 망상해수욕장까지 이동하기 편리한 곳이 있나요?",도째비골까지 가는 대중교통이 잘 되어 있는 숙소가 있나요?,"해변 산책을 즐기실 분들이 계신데, 망상해수욕장 근처 숙소를 추천해 주세요"
아이체크 현진호텔,동해시,동해 한섬해변 근처에 위치한 숙소 중에서 장애인 편의시설이 잘 되어 있는 곳이 있을까요?,강원도 동해에서 대중교통을 이용하기 편리한 숙소를 추천받을 수 있을까요?,"휠체어를 사용하는 어머니와 함께 갈 예정인데, 장애인 전용 객실이 있는 숙소가 있을까요?",시각장애가 있는 아버지와 함께 여행할 때 도움이 되는 점자 안내가 잘 되어 있는 숙소가 있을까요?,"반려견과 함께 여행할 예정인데, 반려견을 동반할 수 있는 숙소를 추천받을 수 있을까요?"
쏠비치호텔삼척 ,삼척시,"휠체어를 사용하는 어머니와 함께 가려고 하는데, 엘리베이터가 있는 숙소가 있을까요?","할아버지와 함께 여행하는데, 금연 객실을 제공하는 숙소가 있나요?",숙소에서 가까운 해수욕장을 쉽게 방문할 수 있는 곳이 있을까요?,추암 조각공원을 도보로 이동할 수 있는 거리에 있는 숙소가 있을까요?,"부모님과 함께 머물 계획인데, 장애인 편의시설이 잘 갖춰진 숙소가 있나요?"
삼척 NS 호스텔,삼척시,"고령인 어머니와 함께 머물 수 있는 숙소를 찾고 있는데, 엘리베이터가 있는 곳이 있나요?","휠체어를 사용하는데, 엘리베이터가 있는 숙소를 알고 싶습니다. 추천해 주실 수 있나요?","할아버지와 함께 여행할 계획인데, 장애인 편의시설이 잘 갖춰져 있는 숙소를 찾고 있습니다. 어떤 곳이 좋을까요?","유명 관광지 근처에서 머물고 싶은데, 그와 동시에 편의시설이 잘 마련된 숙소가 있을까요?","역사적인 명소 근처에 머물고 싶은데, 고령자에게 편리한 숙소가 있을까요?"
라온스파펜션,삼척시,"부모님이 도서관을 자주 이용하시는데, 삼척시립도서관과 가까운 숙소가 있을까요?","삼척 고속버스터미널에서 숙소까지 이동이 편리한 곳을 찾고 있어요, 추천해주실 수 있나요?","삼척 로즈파크에서 시간을 보내고 싶은데, 그 주변에 숙소가 있을까요?","동굴신비관을 꼭 가보고 싶어 하세요, 근처에 머물 수 있는 숙소가 있나요?","삼척향교를 방문하려고 하는데, 그 근처에 편안하게 머물 수 있는 숙소가 있으면 좋겠어요"
씨스포빌콘도,삼척시,"해변에서 가까운 숙소를 찾고 있는데, 맹방 해변까지 도보로 이동할 수 있는 숙소가 있을까요?","척주동해비 주변을 관광하고 싶은데, 그 근처에 있는 숙소가 있을까요?","휠체어를 사용하는 가족과 함께 갈 예정인데, 계단 없이 출입할 수 있는 숙소가 있을까요?",시각장애가 있는 부모님과 함께 여행할 예정입니다. 점자 안내판이 마련된 숙소가 있을까요?,엘리베이터가 있는 숙소를 찾고 있습니다. 혹시 그런 시설을 갖춘 곳이 있을까요?
힐스노클비치 호텔,삼척시,장호항과 장호 해수욕장까지 도보로 이동하기 쉬운 숙소가 있을까요?,"용화해변에서 가까운 숙소를 찾고 있는데, 편의시설도 잘 갖춰져 있나요?",엘리베이터로 모든 층을 이동할 수 있는 숙소가 있나요?,"부모님이 짐을 들고 이동하기 어려우신데, 짐 보관 서비스를 제공하는 숙소가 있을까요?","휠체어를 사용하는 어머니와 함께 묵을 예정인데, 모든 시설이 지상층에 위치한 숙소가 있을까요?"
라벤다모텔,삼척시,강원대 삼척캠퍼스 근처에 위치한 숙소가 있을까요? 주변에 편의시설도 잘 갖춰진 곳이면 좋겠어요,삼척에서 드라이브하며 해변을 즐길 수 있는 숙소가 있을까요? 특히 해안가 도로변에 가까운 곳이면 좋겠어요,"휠체어를 사용하시는 어머니와 함께 머물 예정인데, 엘리베이터가 있는 숙소를 찾고 있습니다. 그런 곳이 있을까요?",부모님이 연세가 있으셔서 객실에 침대가 있는 숙소를 선호합니다. 침대가 구비된 숙소가 있을까요?,장애인 편의시설이 잘 갖춰져 있는 숙소를 찾고 있어요. 엘리베이터 외에 다른 편의시설도 있는 곳이 있을까요?
신리마을회(너와마을),삼척시,"고령의 부모님과 함께 머물 예정인데, 근처에 쉬엄쉬엄 산책하기 좋은 산책로가 있는 숙소가 있나요?","차를 이용하지 않는데, 버스 정류장이나 대중교통이 편리하게 연결된 곳에 위치한 숙소가 있을까요?","조용한 환경에서 휴식을 원하시는데, 주변이 자연으로 둘러싸인 숙소가 있나요?","부모님이 지역 특산 음식을 맛보고 싶어 하시는데, 숙소 가까이에 전통 음식점을 찾을 수 있나요?",저녁에 부모님과 함께 별을 볼 수 있는 한적한 곳에 위치한 숙소가 있을까요?
그라시아펜션,삼척시,"파도 소리를 들으며 휴식을 취하고 싶어 하셔서, 바다가 보이는 숙소가 있을까요?","부모님께서 수영을 좋아하시는데, 수영장이 있는 숙소를 추천해주실 수 있나요?","싱싱한 해산물을 맛보고 싶어 하시는데, 횟집이 가까운 숙소가 있을까요?",도보로 이동할 수 있는 편의점이 있는 숙소를 찾고 있어요. 그런 곳이 있을까요?,"가족 모임 후 레일바이크를 즐기고 싶은데, 근처에 레일바이크를 탈 수 있는 숙소가 있나요?"
그린향펜션,삼척시,삼척에 있는 숙소 중에서 바다와 가까워서 해변 산책이 쉬운 곳이 있나요?,삼척 지역에서 자연 경관을 즐길 수 있는 산책로가 근처에 있는 숙소를 추천해 주세요,"차가 없어서 대중교통을 이용해야 하는데, 삼척 시내와 접근성이 좋은 숙소가 있을까요?","부모님이 전통 시장 구경을 좋아하시는데, 삼척 중심가와 가까운 숙소가 있을까요?",고령의 부모님과 함께 조용한 시간을 보내고 싶습니다. 삼척의 관광지와 조금 떨어진 한적한 숙소가 있나요?
삼척비치모텔,삼척시,"해변을 산책하기 좋은 곳을 찾고 있는데, 삼척해수욕장 근처에 숙소가 있나요?",커피와 디저트를 즐기고 싶어요. 삼척해수욕장 주변에 카페가 많은 숙소가 있을까요?,바다를 보며 편안히 쉴 수 있는 곳이 필요합니다. 오션뷰를 제공하는 숙소가 있나요?,관광하기에 편리한 위치를 찾고 있어요. 삼척해수욕장 중심에 있는 숙소가 있나요?,조용하고 깨끗한 환경에서 휴식을 취하고 싶습니다. 삼척해수욕장 근처에 그런 숙소가 있나요?
용화호텔,삼척시,장호항 근처에 머물면서 해돋이를 쉽게 볼 수 있는 숙소가 있을까요?,레일바이크 체험장이나 해상 케이블카와 가까운 숙소를 알고 싶어요. 부모님과 함께 가려고요,근처에 기암절벽과 해송 숲을 산책할 수 있는 곳이 있는 숙소를 추천해 주세요,"환선굴이나 대금굴을 방문할 계획인데, 이와 가까운 숙소가 어디에 있을까요?","전기차를 충전해야 하는데, 충전 시설이 있는 숙소가 있을까요?"
펜션오라,삼척시,해수욕장과 가까운 곳에 숙소가 있어서 고령자분들이 바다를 쉽게 즐길 수 있는 곳이 있을까요?,반려견과 산책하기 좋은 해변이나 공원이 숙소 근처에 있나요?,"차 없이도 편리하게 이동할 수 있는, 대중교통이 잘 연결된 숙소가 있나요?",숙소 주변에 조용히 바다를 감상할 수 있는 편안한 벤치나 휴식 공간이 마련된 곳이 있을까요?,"친환경적인 지역에서 머물고 싶은데, 깨끗한 공기를 자랑하는 해변 근처 숙소가 있을까요?"
정원가든 애견동반펜션,삼척시,"차가 없어서 대중교통을 이용하려고 하는데, 근처에 버스 정류장이나 지하철역이 있는 숙소가 있을까요?","부모님과 함께 머무를 곳을 찾고 있는데, 숙소에서 가까운 거리에 병원이 있으면 좋겠어요","자연 경관을 즐기고 싶은데, 숙소 주변에 산책하기 좋은 호수나 강이 있을까요?","조용한 환경을 선호하셔서, 숙소 근처에 소음이 적은 곳이 있는지 알고 싶어요","부모님이 전통 문화를 좋아하시는데, 숙소 주변에 전통 마을이나 문화재가 있는 곳이 있을까요?"
꽃내음펜션,삼척시,근처에 휠체어 접근이 가능한 산책로가 있는지 궁금합니다. 산책을 즐기기에 좋은 장소가 있을까요?,"대중교통을 이용할 예정인데, 숙소에서 가장 가까운 버스 정류장이나 기차역은 어디에 있나요?","부모님과 함께 바다를 산책하고 싶은데, 숙소에서 해변까지 접근이 쉬운지 알고 싶습니다",반려견과 함께할 수 있는 주변의 공원이나 산책로가 있나요?,푸른 바다와 울창한 산을 감상하며 휴식을 취할 수 있는 전망 좋은 카페나 레스토랑이 근처에 있는지 알고 싶습니다
힐링캠프 애견동반 펜션,삼척시,"동해안의 해변을 가까이에서 즐기고 싶은데, 해수욕장 근처에 좋은 숙소가 있을까요?",산책을 즐기시는 부모님을 위해 산책하기 좋은 울창한 산 근처의 숙소를 추천해 주세요,"차가 없어서 대중교통을 이용하려고 하는데, 삼척시 중심가와 가까운 숙소가 있을까요?",자연을 만끽할 수 있는 계곡 근처에 위치한 숙소가 있으면 좋겠어요. 추천해 주실 수 있나요?,반려견과 함께 머무를 수 있는 숙소를 찾고 있습니다. 그런 숙소가 있는지 알고 싶어요
신나개 애견펜션,삼척시,삼척에 위치한 숙소 주변에 도보로 산책하기 좋은 공원이나 산책로가 있나요?,"대중교통을 이용할 계획인데, 삼척 시내와 잘 연결된 숙소가 있을까요?",근처에 장애인이나 고령자도 쉽게 접근할 수 있는 카페나 식당이 있는 숙소를 추천해 주세요,삼척에서 관광 명소를 방문하기 편리한 숙소가 있나요?,반려견과 함께 즐길 수 있는 삼척의 휴양림이나 자연 경관이 가까운 숙소가 있을까요?
나디아민박,삼척시,고령자분이 바다를 쉽게 즐기실 수 있도록 해변 접근성이 좋은 숙소가 있을까요?,산책을 좋아하시는 부모님께서 주변 자연경관을 즐기실 수 있는 숙소가 있나요?,"반려견과 함께 할 수 있는 숙소인데, 근처에 애완견 산책로가 잘 마련되어 있는 곳이 있나요?","대중교통을 이용해야 하는데, 근처에 버스 정류장이나 역이 있는 숙소가 있을까요?",저녁에 조명이 잘 되어 있어 안전하게 돌아다닐 수 있는 숙소가 있나요?
해마루 펜션,삼척시,장호 해수욕장이 가까운 숙소가 있다면 추천해 줄 수 있나요?,장호항 근처에 위치한 숙소가 있으면 알고 싶어요,해신당공원을 방문하기 좋은 숙소가 어딘지 알려주세요,"용화레일바이크를 즐길 계획인데, 근처에 머물기 좋은 숙소가 있을까요?",해상케이블카를 타기 편리한 숙소가 어디인지 추천 부탁드려요
더블유펜션[한국관광 품질인증/Korea Quality],삼척시,해수욕장이 가까워서 바다 산책을 즐기기에 좋은 숙소가 있을까요?,"차량을 이용할 계획인데, 넓은 주차장이 제공되는 숙소가 어디인가요?","해양레일바이크를 타고 싶은데, 그 주변에 머무를 만한 숙소가 있을까요?","해상케이블카를 탈 예정인데, 그 근처에 숙소가 있나요?",자연 경관을 감상할 수 있는 용굴 촛대바위 근처에 머물기 좋은 숙소가 있나요?
코아페바다펜션,삼척시,용화해수욕장에서 가까운 숙소가 있나요? 해변을 자주 방문하고 싶습니다,"장호항이나 삼척레일바이크탑승장과 가까운 숙소를 찾고 있는데, 추천해 주실 수 있을까요?","시각장애가 있는 어머니와 여행할 예정인데, 점자블록이 잘 설치된 숙소가 어디 있을까요?",수영복 등을 건조할 수 있는 편의시설이 있는 숙소가 있나요? 물놀이 후에 편리하게 사용하고 싶습니다,"고령의 부모님과 함께 바비큐를 즐기고 싶은데, 실내 바비큐 시설이 있는 숙소가 있을까요?"
향초목원,삼척시,"가곡유황온천을 자주 이용할 계획인데, 차로 5분 거리에 위치한 숙소가 있을까요?",덕풍계곡에서 하이킹을 즐긴 후 쉴 수 있는 가까운 숙소 추천해 주세요,"별을 관찰하기 좋은 장소를 찾고 있는데, 밤하늘이 잘 보이는 숙소가 있을까요?",블루베리 농장 체험을 할 수 있는 숙소가 있으면 좋겠어요. 그런 곳이 있나요?,동해안에서 해수욕을 즐기고 싶습니다. 해변까지 15분 거리에 있는 숙소가 있을까요?
로즈밸리,삼척시,"임원항의 회센터를 방문하고 싶은데, 도보로 이동 가능한 숙소가 있을까요?","덕구온천에서 온천욕을 즐기고 싶은데, 가까운 숙소를 추천해줄 수 있나요?","해양레일바이크를 타고 싶은데, 접근성이 좋은 숙소가 어디 있나요?","덕풍계곡트래킹을 계획 중인데, 계곡과 가까운 숙소가 있을까요?","장호해수욕장에서 여유롭게 시간을 보내고 싶은데, 근처에 적합한 숙소가 있을까요?"
티오피모텔,삼척시,도보로 이동하기 편한 숙소를 찾고 있습니다. 터미널이나 홈플러스 근처에 위치한 숙소가 있을까요?,"해양레일바이크를 타고 싶은데, 그 주변에 숙소가 있나요?",휠체어를 사용하시는 어머니와 함께 머물 수 있는 엘리베이터가 있는 숙소가 있을까요?,"아버지가 계단을 이용하기 어려워하시는데, 고령자분들이 편하게 이용할 수 있는 시설이 있는 숙소가 있나요?",장애인 편의시설이 잘 갖춰져 있는 숙소에서 머물고 싶습니다. 어떤 옵션이 있을까요?
솔향기가득한집,삼척시,"해변까지 걸어서 갈 수 있는 거리라는데, 경사가 가파르지 않은지 알 수 있을까요?","자연을 좋아하시는 부모님께서 소나무 숲을 산책하고 싶어 하시는데, 근처에 편안한 산책로가 마련되어 있나요?","바다 소리를 들으며 쉴 수 있는 숙소가 있나요? 또, 주변 환경이 조용한지 궁금합니다",근처에 어르신들이 이용하기에 적합한 로컬 식당이나 카페가 있는지 알고 싶습니다,해변 근처에 휠체어 접근이 가능한 공공 화장실이나 편의시설이 있는지 궁금합니다
마레몬스호텔,속초시,대포항과 가까운 숙소 중에 장애인 편의시설이 잘 갖춰진 곳이 있을까요?,"속초해변에서 접근성이 좋은 숙소를 찾고 있는데, 고령자들에게 적합한 숙소가 있을까요?","휠체어를 사용하는 가족이 함께 갈 예정인데, 휠체어 접근성이 좋은 숙소가 있을까요?",시각장애가 있는 분이 편안하게 이용할 수 있도록 점자 안내판이 잘 마련된 숙소가 있을까요?,"계단을 이용하기 어려운 부모님과 함께 가는데, 계단 난간이 잘 설치된 숙소가 있을까요?"
켄싱턴스타호텔,속초시,"설악산 국립공원과 가까운 숙소를 찾고 있는데, 자연 관광을 즐기기에 좋은 위치에 있는 곳이 있을까요?",설악 케이블카를 도보로 이용할 수 있는 숙소가 있나요? 부모님과 함께 케이블카를 타러 가고 싶습니다,"휠체어를 사용하시는 할아버지와 함께 여행할 계획인데, 계단이 없는 주 출입구가 있는 숙소가 있을까요?","부모님께서 엘리베이터를 꼭 필요로 하시는데, 층간 이동이 엘리베이터로 가능한 곳이 있나요?",장애인 지원 객실을 제공하는 숙소가 있으면 추천 부탁드립니다. 가족 중 한 분이 장애를 가지고 계셔서요
체스터톤스 속초,속초시,속초바다낚시터 근처에 위치한 숙소 중에서 편의시설이 잘 갖춰진 곳이 있을까요?,속초 중심지에서 쉽게 접근할 수 있는 숙소가 있을까요?,"휠체어를 사용하시는 어머니와 함께 가려고 하는데, 엘리베이터가 있어 이동이 편리한 숙소가 있나요?",장애인 편의시설이 잘 마련된 숙소가 있는지 알고 싶습니다,고령의 부모님과 함께 이용할 수 있는 금연 객실이 있는 숙소가 있을까요?
베니키아 산과 바다 대포항,속초시,"설악산 국립공원을 방문할 예정인데, 근처에 장애인 편의시설이 잘 갖춰진 숙소가 있을까요?",속초해변까지 쉽게 이동할 수 있는 숙소가 있을까요? 부모님이 걸음을 많이 못 걸으세요,"휠체어를 사용하는 가족이 있는데, 엘리베이터가 있는 숙소를 찾고 있어요",장애인 편의시설이 잘 갖춰진 숙소 중에서 설악 워터피아와 가까운 곳이 있을까요?,"해맞이 공원을 도보로 방문하려고 하는데, 근처에 고령자나 장애인에게 편리한 숙소가 있을까요?"
롯데리조트 속초,속초시,속초 중앙시장 근처에 위치한 숙소 중에서 고령자나 장애인도 편리하게 이용할 수 있는 곳이 있을까요?,"속초등대전망대에 방문하기 편한 숙소로, 장애인 편의시설이 잘 갖춰진 곳을 추천받을 수 있을까요?","휠체어를 사용하는 가족과 함께 갈 예정인데, 엘리베이터가 있는 숙소가 있는지 궁금합니다","금연 객실을 선호하는데, 장애인 편의시설도 잘 마련된 숙소가 있을까요?",모든 시설이 지상층에 위치하여 이동이 편리한 숙소를 찾고 있습니다. 추천해 주실 만한 곳이 있을까요?
비즈니스 호텔 카멜,속초시,"휠체어를 사용하는 어머니와 함께 여행할 예정인데, 숙소 내 모든 시설을 휠체어로 이용할 수 있는 곳이 있을까요?","항알러지 베개와 알러지프리 객실이 있는 숙소를 찾고 있는데, 이런 조건을 갖춘 곳이 있을까요?",장애인 화장실이 잘 마련되어 있는 숙소가 있을까요? 부모님이 편하게 이용하셔야 해서요,속초바다낚시터와 가까운 숙소가 있을까요? 아버지께서 낚시를 좋아하셔서요,양양 국제공항에서 차로 30분 내외 거리에 있는 숙소가 있을까요? 교통이 편리한 곳이면 좋겠습니다
베니키아 산과 바다 속초,속초시,설악해맞이공원과 가까운 숙소 중에서 고령자분들이 이용하기 편리한 곳이 있을까요?,"대포항을 방문할 계획인데, 근처에 장애인 편의시설이 잘 갖춰진 숙소가 있을까요?","휠체어를 사용하는 어머니와 함께 머물 예정인데, 엘리베이터가 있는 숙소를 추천받을 수 있을까요?","부모님께서 계단이 불편하신데, 엘리베이터가 있는 숙소를 찾고 있어요. 어떤 곳이 있을까요?",장애인 편의시설이 잘 마련된 숙소가 있을까요? 특히 엘리베이터가 있는 곳이면 좋겠습니다
호텔굿모닝,속초시,"휠체어를 사용하시는 어머니와 함께 여행할 예정인데, 엘리베이터가 잘 갖춰져 있는 숙소가 있을까요?","할아버지께서 알레르기가 심하신데, 항알러지 베개를 제공하는 숙소가 있나요?",부모님이 해변을 좋아하셔서 아침에 해변을 산책하고 싶어 하세요. 해변까지 가까운 숙소가 있을까요?,"대포항을 방문할 계획인데, 그 근처에 위치한 숙소를 추천해 주실 수 있나요?",고령자분들을 위한 금연 객실이 마련된 숙소가 있을까요?
호텔더블루테라,속초시,"외옹치해변 근처에 위치한 숙소로, 고령자나 장애인을 위한 편의시설이 잘 갖춰져 있는 곳이 있을까요?","낙산사를 방문할 계획인데, 그 주변에 있는 숙소 중에 장애인 편의시설이 잘 되어 있는 곳이 있나요?",휠체어를 사용하는 가족과 함께라서 엘리베이터가 있는 숙소를 찾고 있습니다. 그런 곳이 있을까요?,"부모님이 움직임이 불편하셔서 엘리베이터가 있는 숙소를 찾고 있는데, 추천해주실 만한 곳이 있나요?",속초해수욕장 근처에 있는 숙소 중에 고령자도 편리하게 이용할 수 있는 곳이 있을까요?
스테이호스텔,속초시,"차량으로 이동하기 편리한 곳에 위치한 숙소라면, 근처에 대형 마트나 쇼핑센터가 있는지 알고 싶어요","부모님께서 해변에서 산책하는 것을 좋아하시는데, 도보로 접근 가능한 해변이 있는 숙소가 있을까요?",근처에 전통시장이 있어서 지역 음식을 경험할 수 있는 숙소가 있으면 좋겠어요,자연을 좋아하시는 부모님께서 여유롭게 산책할 수 있는 공원이나 산책로가 숙소 근처에 있나요?,"여행 중에 건강을 챙기고 싶어서, 근처에 의료 시설이 잘 갖춰진 숙소가 있는지 궁금해요"
속초비치호스텔,속초시,"부모님이 바다를 좋아하셔서, 해변 근처에 위치한 숙소가 있나요?","어머니께서 커피를 좋아하시는데, 숙소 내에 전용 카페가 있는 곳이 있을까요?","아버지가 흡연자이신데, 지정된 흡연 구역이 있는 숙소를 찾고 있어요","저녁에 바다 전망을 즐기고 싶은데, 루프탑에서 바다가 보이는 숙소가 있을까요?","가족이 함께 머무를 예정인데, 추가 인원 요금이 저렴한 숙소를 추천해 주세요"
속초 화이트하우스 수영장펜션,속초시,"숙소 주변에 바다 산책로가 잘 조성되어 있는지 궁금한데, 그런 곳이 있을까요?","고령자를 위한 편의시설이 잘 갖춰진 숙소 중에, 속초 중앙시장과 가까운 곳이 있나요?","부모님이 해변에서 여유로운 시간을 보내시길 원하는데, 숙소와 해변 간 거리가 가까운 곳이 있을까요?",숙소 근처에 전통 음식을 맛볼 수 있는 식당이 있는지 알고 싶어요,숙소 주변에 휠체어 접근이 가능한 카페나 레스토랑이 있는 곳을 추천해줄 수 있나요?
씨크루즈 호텔 속초,속초시,"휠체어를 사용하시는 부모님과 함께 여행하려고 하는데, 계단 없이 출입이 가능한 숙소가 있을까요?",시각장애가 있는 할아버지를 위해 점자 안내판이 잘 마련된 숙소를 찾고 있습니다. 그런 곳이 있을까요?,설악 워터피아에 가까운 숙소 중에서 장애인 지원 객실이 있는 곳이 있을까요?,"석봉도자기미술관을 방문할 예정인데, 이 주변에 관광지 접근성이 좋은 숙소가 있을까요?","설악산 국립공원 근처에 머물 계획인데, 휠체어 이용이 가능한 숙소가 있을까요?"
더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,속초시,속초해수욕장에서 가까운 숙소 중에 고령자나 장애인을 위한 편의시설이 잘 갖춰져 있는 곳이 있나요?,"대포항을 방문할 계획인데, 근처에 장애인 편의시설이 잘 되어 있는 숙소가 있을까요?","알레르기가 있는 가족과 함께 묵을 예정인데, 알러지프리 객실을 제공하는 숙소가 있나요?","거동이 불편하신 어머니와 함께 여행하는데, 엘리베이터가 있는 숙소를 찾고 있어요. 추천해 주실 수 있나요?",장애인 편의시설이 잘 마련된 숙소에서 바다 전망을 즐길 수 있는 곳이 있을까요?
마리나베이 속초,속초시,청초호 근처에 위치한 숙소 중에서 휠체어로 이동하기 편리한 곳이 있을까요?,속초해수욕장을 도보로 이동할 수 있는 숙소가 있을까요?,"휠체어를 사용하는 어머니와 함께 여행할 예정인데, 엘리베이터가 구비된 숙소를 추천해 주실 수 있나요?","고령의 부모님과 함께 여행 중인데, 모든 시설이 지상층에 위치한 숙소가 있을까요?",외옹치 해수욕장까지 차로 가까운 거리에 있는 숙소를 알고 싶어요
속초 소노레지던스,속초시,걸어서 갈 수 있는 거리에 해수욕장이 있는 숙소가 있을까요?,"가족과 함께 방문할 예정인데, 차로 이동하기 편리한 주요 관광지와 가까운 숙소를 알고 싶어요","어머니가 문화 체험을 좋아하시는데, 도자기 관련 미술관과 가까운 숙소가 있나요?","아버지가 산책을 즐기시는데, 가까운 거리에 엑스포 공원이 있는 숙소를 추천해 주세요",대포항에서 신선한 해산물을 즐기고 싶습니다. 근처에 머물기 좋은 숙소가 있나요?
팜파스 호텔&리조트 속초,속초시,속초 해변과 가까운 숙소 중에서 고령자를 위한 편의시설이 잘 갖춰진 곳이 있을까요?,"설악산 국립공원에 방문할 예정인데, 그 근처에 있는 숙소를 추천해 주실 수 있나요?","휠체어를 사용하시는 어머니와 함께 여행할 계획인데, 엘리베이터가 있는 숙소가 있을까요?",대관람차 관람 후 숙소로 돌아가기가 편리한 위치의 숙소가 있을까요?,"몸이 불편한 부모님과 함께 머무를 예정인데, 장애인 편의시설을 갖춘 숙소가 있을까요?"
더펠리스,속초시,영랑호 주변에서 산책을 하기에 좋은 숙소가 있을까요?,속초문화센터를 쉽게 방문할 수 있는 숙소를 알고 싶어요,속초해변까지 이동이 편리한 숙소가 있나요?,설악산 국립공원에 접근하기 좋은 숙소를 추천받고 싶습니다,숙소에서 차로 이동하기에 편리한 관광지가 근처에 있나요?
르컬렉티브 속초중앙,속초시,설악산 국립공원에 쉽게 접근할 수 있는 숙소가 있나요?,속초 엑스포 공원 근처에 위치한 숙소 중에 추천할 만한 곳이 있을까요?,휠체어를 사용하는 어머니를 위해 계단 없는 출입구가 있는 숙소가 필요해요. 그런 곳이 있을까요?,시각장애가 있는 아버지를 위해 점자 안내판이 잘 마련된 숙소를 찾고 있어요. 추천해 주실 수 있나요?,"할머니가 복도를 이동하실 때 난간이 필요하신데, 복도 난간이 있는 숙소가 있나요?"
